,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status,circuitId,name,country,year
0,1,18,1,1,22.0,1,1.0,1,1,10.0,58,34:50.6,5690616.0,39.0,2.0,01:27.5,218.3,Finished,1,Albert Park Grand Prix Circuit,Australia,2008
1,2,18,2,2,3.0,5,2.0,2,2,8.0,58,5.478,5696094.0,41.0,3.0,01:27.7,217.586,Finished,1,Albert Park Grand Prix Circuit,Australia,2008
2,3,18,3,3,7.0,7,3.0,3,3,6.0,58,8.163,5698779.0,41.0,5.0,01:28.1,216.719,Finished,1,Albert Park Grand Prix Circuit,Australia,2008
3,4,18,4,4,5.0,11,4.0,4,4,5.0,58,17.181,5707797.0,58.0,7.0,01:28.6,215.464,Finished,1,Albert Park Grand Prix Circuit,Australia,2008
4,5,18,5,1,23.0,3,5.0,5,5,4.0,58,18.014,5708630.0,43.0,1.0,01:27.4,218.385,Finished,1,Albert Park Grand Prix Circuit,Australia,2008
5,23,19,8,6,1.0,2,1.0,1,1,10.0,56,31:18.6,5478555.0,37.0,2.0,01:35.4,209.158,Finished,2,Sepang International Circuit,Malaysia,2008
6,24,19,9,2,4.0,4,2.0,2,2,8.0,56,19.57,5498125.0,39.0,6.0,01:35.9,208.033,Finished,2,Sepang International Circuit,Malaysia,2008
7,25,19,5,1,23.0,8,3.0,3,3,6.0,56,38.45,5517005.0,19.0,7.0,01:35.9,208.031,Finished,2,Sepang International Circuit,Malaysia,2008
8,26,19,15,7,11.0,3,4.0,4,4,5.0,56,45.832,5524387.0,53.0,8.0,01:36.1,207.715,Finished,2,Sepang International Circuit,Malaysia,2008
9,27,19,1,1,22.0,9,5.0,5,5,4.0,56,46.548,5525103.0,53.0,3.0,01:35.5,209.033,Finished,2,Sepang International Circuit,Malaysia,2008
10,28,19,2,2,3.0,5,6.0,6,6,3.0,56,49.833,5528388.0,55.0,1.0,01:35.4,209.244,Finished,2,Sepang International Circuit,Malaysia,2008
11,29,19,17,9,10.0,6,7.0,7,7,2.0,56,+1:08.130,5546685.0,53.0,12.0,01:36.7,206.366,Finished,2,Sepang International Circuit,Malaysia,2008
12,30,19,4,4,5.0,7,8.0,8,8,1.0,56,+1:10.041,5548596.0,40.0,10.0,01:36.3,207.24,Finished,2,Sepang International Circuit,Malaysia,2008
13,31,19,14,9,9.0,12,9.0,9,9,0.0,56,+1:16.220,5554775.0,55.0,9.0,01:36.2,207.417,Finished,2,Sepang International Circuit,Malaysia,2008
14,32,19,18,11,16.0,11,10.0,10,10,0.0,56,+1:26.214,5564769.0,56.0,4.0,01:35.7,208.481,Finished,2,Sepang International Circuit,Malaysia,2008
15,33,19,12,4,6.0,13,11.0,11,11,0.0,56,+1:32.202,5570757.0,52.0,15.0,01:37.0,205.812,Finished,2,Sepang International Circuit,Malaysia,2008
16,45,20,13,6,2.0,2,1.0,1,1,10.0,57,31:07.0,5466970.0,38.0,3.0,01:33.6,208.153,Finished,3,Bahrain International Circuit,Bahrain,2008
17,46,20,8,6,1.0,4,2.0,2,2,8.0,57,3.339,5470309.0,35.0,4.0,01:33.7,207.911,Finished,3,Bahrain International Circuit,Bahrain,2008
18,47,20,9,2,4.0,1,3.0,3,3,6.0,57,4.998,5471968.0,55.0,5.0,01:33.8,207.765,Finished,3,Bahrain International Circuit,Bahrain,2008
19,48,20,2,2,3.0,6,4.0,4,4,5.0,57,8.409,5475379.0,48.0,2.0,01:33.6,208.231,Finished,3,Bahrain International Circuit,Bahrain,2008
20,49,20,5,1,23.0,5,5.0,5,5,4.0,57,26.789,5493759.0,49.0,1.0,01:33.2,209.062,Finished,3,Bahrain International Circuit,Bahrain,2008
21,50,20,15,7,11.0,7,6.0,6,6,3.0,57,41.314,5508284.0,45.0,7.0,01:34.2,206.819,Finished,3,Bahrain International Circuit,Bahrain,2008
22,51,20,17,9,10.0,11,7.0,7,7,2.0,57,45.473,5512443.0,51.0,8.0,01:34.3,206.597,Finished,3,Bahrain International Circuit,Bahrain,2008
23,52,20,3,3,7.0,8,8.0,8,8,1.0,57,55.889,5522859.0,57.0,6.0,01:34.1,207.109,Finished,3,Bahrain International Circuit,Bahrain,2008
24,53,20,10,7,12.0,13,9.0,9,9,0.0,57,+1:09.500,5536470.0,56.0,9.0,01:34.8,205.503,Finished,3,Bahrain International Circuit,Bahrain,2008
25,54,20,4,4,5.0,10,10.0,10,10,0.0,57,+1:17.181,5544151.0,35.0,13.0,01:35.2,204.668,Finished,3,Bahrain International Circuit,Bahrain,2008
26,55,20,22,11,17.0,12,11.0,11,11,0.0,57,+1:17.862,5544832.0,40.0,10.0,01:34.9,205.399,Finished,3,Bahrain International Circuit,Bahrain,2008
27,67,21,8,6,1.0,1,1.0,1,1,10.0,66,38:19.1,5899051.0,46.0,1.0,01:21.7,205.191,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
28,68,21,13,6,2.0,3,2.0,2,2,8.0,66,3.228,5902279.0,45.0,2.0,01:21.8,204.863,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
29,69,21,1,1,22.0,5,3.0,3,3,6.0,66,4.187,5903238.0,20.0,3.0,01:22.0,204.323,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
30,70,21,9,2,4.0,4,4.0,4,4,5.0,66,5.694,5904745.0,20.0,4.0,01:22.1,204.102,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
31,71,21,17,9,10.0,7,5.0,5,5,4.0,66,35.938,5934989.0,19.0,8.0,01:22.6,202.969,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
32,72,21,18,11,16.0,13,6.0,6,6,3.0,66,53.01,5952061.0,66.0,5.0,01:22.4,203.489,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
33,73,21,6,3,8.0,12,7.0,7,7,2.0,66,58.244,5957295.0,48.0,15.0,01:23.5,200.576,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
34,74,21,15,7,11.0,8,8.0,8,8,1.0,66,59.435,5958486.0,45.0,10.0,01:22.8,202.494,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
35,75,21,2,2,3.0,9,9.0,9,9,0.0,66,+1:03.073,5962124.0,21.0,7.0,01:22.5,203.08,Finished,4,Circuit de Barcelona-Catalunya,Spain,2008
36,89,22,13,6,2.0,1,1.0,1,1,10.0,58,26:49.5,5209451.0,16.0,3.0,01:26.7,221.734,Finished,5,Istanbul Park,Turkey,2008
37,90,22,1,1,22.0,3,2.0,2,2,8.0,58,3.779,5213230.0,31.0,2.0,01:26.5,222.085,Finished,5,Istanbul Park,Turkey,2008
38,91,22,8,6,1.0,4,3.0,3,3,6.0,58,4.271,5213722.0,20.0,1.0,01:26.5,222.144,Finished,5,Istanbul Park,Turkey,2008
39,92,22,9,2,4.0,5,4.0,4,4,5.0,58,21.945,5231396.0,17.0,4.0,01:26.8,221.442,Finished,5,Istanbul Park,Turkey,2008
40,93,22,2,2,3.0,9,5.0,5,5,4.0,58,38.741,5248192.0,20.0,5.0,01:27.2,220.328,Finished,5,Istanbul Park,Turkey,2008
41,94,22,4,4,5.0,7,6.0,6,6,3.0,58,53.724,5263175.0,57.0,6.0,01:27.3,220.174,Finished,5,Istanbul Park,Turkey,2008
42,95,22,17,9,10.0,6,7.0,7,7,2.0,58,+1:04.229,5273680.0,14.0,7.0,01:27.6,219.294,Finished,5,Istanbul Park,Turkey,2008
