Track,Position,No,Driver,Team,Starting Grid,Laps,Time/Retired,Points,Fastest Lap,Year
Australia,1,5,Sebastian Vettel,Ferrari,3,58,29:33.3,25,01:26.5,2018
Australia,2,44,Lewis Hamilton,Mercedes,1,58,5.036,18,01:26.4,2018
Australia,3,7,Kimi Raikkönen,Ferrari,2,58,6.309,15,01:26.4,2018
Australia,4,3,Daniel Ricciardo,Red Bull Racing Tag Heuer,8,58,7.069,12,01:25.9,2018
Australia,5,14,Fernando Alonso,McLaren Renault,10,58,27.886,10,01:27.0,2018
Australia,6,33,Max Verstappen,Red Bull Racing Tag Heuer,4,58,28.945,8,01:26.9,2018
Australia,7,27,Nico Hulkenberg,Renault,7,58,32.671,6,01:27.1,2018
Australia,8,77,Valtteri Bottas,Mercedes,15,58,34.339,4,01:27.0,2018
Australia,9,2,Stoffel Vandoorne,McLaren Renault,11,58,34.921,2,01:27.0,2018
Australia,10,55,Carlos Sainz,Renault,9,58,45.722,1,01:27.9,2018
Australia,11,11,Sergio Perez,Force India Mercedes,12,58,46.817,0,01:27.6,2018
Australia,12,31,Esteban Ocon,Force India Mercedes,14,58,60.278,0,01:27.6,2018
Australia,13,16,Charles Leclerc,Sauber Ferrari,18,58,75.759,0,01:28.8,2018
Australia,14,18,Lance Stroll,Williams Mercedes,13,58,78.288,0,01:28.5,2018
Australia,15,28,Brendon Hartley,Scuderia Toro Rosso Honda,16,57,+1 lap,0,01:28.2,2018
Australia,NC,8,Romain Grosjean,Haas Ferrari,6,24,DNF,0,01:28.8,2018
Australia,NC,20,Kevin Magnussen,Haas Ferrari,5,22,DNF,0,01:29.5,2018
Australia,NC,10,Pierre Gasly,Scuderia Toro Rosso Honda,20,13,DNF,0,01:30.6,2018
Australia,NC,9,Marcus Ericsson,Sauber Ferrari,17,5,DNF,0,01:32.2,2018
Australia,NC,35,Sergey Sirotkin,Williams Mercedes,19,4,DNF,0,01:32.6,2018
Bahrain,1,5,Sebastian Vettel,Ferrari,1,57,32:01.9,25,01:34.5,2018
Bahrain,2,77,Valtteri Bottas,Mercedes,3,57,0.699,18,01:33.7,2018
Bahrain,3,44,Lewis Hamilton,Mercedes,9,57,6.512,15,01:34.0,2018
Bahrain,4,10,Pierre Gasly,Scuderia Toro Rosso Honda,5,57,62.234,12,01:34.9,2018
Bahrain,5,20,Kevin Magnussen,Haas Ferrari,6,57,75.046,10,01:34.3,2018
Bahrain,6,27,Nico Hulkenberg,Renault,7,57,99.024,8,01:34.7,2018
Bahrain,7,14,Fernando Alonso,McLaren Renault,13,56,+1 lap,6,01:34.2,2018
Bahrain,8,2,Stoffel Vandoorne,McLaren Renault,14,56,+1 lap,4,01:35.1,2018
Bahrain,9,9,Marcus Ericsson,Sauber Ferrari,17,56,+1 lap,2,01:35.1,2018
Bahrain,10,31,Esteban Ocon,Force India Mercedes,8,56,+1 lap,1,01:35.0,2018
Bahrain,11,55,Carlos Sainz,Renault,10,56,+1 lap,0,01:35.5,2018
Bahrain,12,16,Charles Leclerc,Sauber Ferrari,19,56,+1 lap,0,01:35.1,2018
Bahrain,13,8,Romain Grosjean,Haas Ferrari,16,56,+1 lap,0,01:34.1,2018
Bahrain,14,18,Lance Stroll,Williams Mercedes,20,56,+1 lap,0,01:35.3,2018
Bahrain,15,35,Sergey Sirotkin,Williams Mercedes,18,56,+1 lap,0,01:34.6,2018
Bahrain,16,11,Sergio Perez,Force India Mercedes,12,56,+1 lap,0,01:35.1,2018
Bahrain,17,28,Brendon Hartley,Scuderia Toro Rosso Honda,11,56,+1 lap,0,01:34.7,2018
Bahrain,NC,7,Kimi Raikkönen,Ferrari,2,35,DNF,0,01:34.3,2018
Bahrain,NC,33,Max Verstappen,Red Bull Racing Tag Heuer,15,3,DNF,0,,2018
Bahrain,NC,3,Daniel Ricciardo,Red Bull Racing Tag Heuer,4,1,DNF,0,,2018
China,1,3,Daniel Ricciardo,Red Bull Racing Tag Heuer,6,56,35:36.4,25,01:35.8,2018
China,2,77,Valtteri Bottas,Mercedes,3,56,8.894,18,01:37.0,2018
China,3,7,Kimi Raikkönen,Ferrari,2,56,9.637,15,01:36.5,2018
China,4,44,Lewis Hamilton,Mercedes,4,56,16.985,12,01:36.9,2018
China,5,33,Max Verstappen,Red Bull Racing Tag Heuer,5,56,20.436,10,01:36.2,2018
China,6,27,Nico Hulkenberg,Renault,7,56,21.052,8,01:36.9,2018
China,7,14,Fernando Alonso,McLaren Renault,13,56,30.639,6,01:37.2,2018
China,8,5,Sebastian Vettel,Ferrari,1,56,35.286,4,01:37.5,2018
China,9,55,Carlos Sainz,Renault,9,56,35.763,2,01:37.8,2018
China,10,20,Kevin Magnussen,Haas Ferrari,11,56,39.594,1,01:38.2,2018
China,11,31,Esteban Ocon,Force India Mercedes,12,56,44.05,0,01:38.0,2018
China,12,11,Sergio Perez,Force India Mercedes,8,56,44.725,0,01:37.7,2018
China,13,2,Stoffel Vandoorne,McLaren Renault,14,56,49.373,0,01:38.1,2018
China,14,18,Lance Stroll,Williams Mercedes,18,56,55.49,0,01:38.5,2018
China,15,35,Sergey Sirotkin,Williams Mercedes,16,56,58.241,0,01:38.6,2018
China,16,9,Marcus Ericsson,Sauber Ferrari,20,56,62.604,0,01:38.4,2018
China,17,8,Romain Grosjean,Haas Ferrari,10,56,65.296,0,01:37.4,2018
China,18,10,Pierre Gasly,Scuderia Toro Rosso Honda,17,56,66.33,0,01:38.4,2018
China,19,16,Charles Leclerc,Sauber Ferrari,19,56,82.575,0,01:38.8,2018
China,20,28,Brendon Hartley,Scuderia Toro Rosso Honda,15,51,DNF,0,01:39.4,2018
Azerbaijan,1,44,Lewis Hamilton,Mercedes,2,51,43:44.3,25,01:45.4,2018
Azerbaijan,2,7,Kimi Raikkönen,Ferrari,6,51,2.46,18,01:46.5,2018
Azerbaijan,3,11,Sergio Perez,Force India Mercedes,8,51,4.024,15,01:46.2,2018
Azerbaijan,4,5,Sebastian Vettel,Ferrari,1,51,5.329,12,01:45.5,2018
Azerbaijan,5,55,Carlos Sainz,Renault,9,51,7.515,10,01:46.9,2018
Azerbaijan,6,16,Charles Leclerc,Sauber Ferrari,13,51,9.158,8,01:47.4,2018
Azerbaijan,7,14,Fernando Alonso,McLaren Renault,12,51,10.931,6,01:47.4,2018
Azerbaijan,8,18,Lance Stroll,Williams Mercedes,10,51,12.546,4,01:46.8,2018
Azerbaijan,9,2,Stoffel Vandoorne,McLaren Renault,16,51,14.152,2,01:47.7,2018
Azerbaijan,10,28,Brendon Hartley,Scuderia Toro Rosso Honda,19,51,18.03,1,01:48.3,2018
Azerbaijan,11,9,Marcus Ericsson,Sauber Ferrari,18,51,18.512,0,01:47.9,2018
Azerbaijan,12,10,Pierre Gasly,Scuderia Toro Rosso Honda,17,51,24.72,0,01:48.0,2018
